Ref_Date,GEO,EST,Vector,Coordinate,Value
1999,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,111
2000,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,80
2001,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,131
2002,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,115
2003,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,115
2004,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,90
2005,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,52
2006,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,55
2007,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,236
2008,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,260
2009,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,265
2010,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,201
2011,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,271
2012,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,184
2013,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,176
2014,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,155
2015,Prince Edward Island,"Production of honey, total (pounds x 1,000)",v47880,2.4,164
1924,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,0
1925,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,0
1926,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,0
1927,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,0
1928,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1929,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,2
1930,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1931,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1932,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1933,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1934,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1935,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1936,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,2
1937,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,2
1938,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1939,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,1
1940,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,2
1941,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,2
1942,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,5
1943,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,5
1944,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,8
1945,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,7
1946,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,3
1947,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,13
1948,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,14
1949,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,13
1950,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,9
1951,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,13
1952,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,15
1953,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,14
1954,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,12
1955,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,13
1956,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,18
1957,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,11
1958,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,14
1959,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,13
1960,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,14
1961,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,12
1962,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,6
1963,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,14
1964,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,11
1965,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,13
1966,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,11
1967,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,8
1968,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,10
1969,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,9
1970,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,8
1971,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,9
1972,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,21
1973,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,30
1974,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,19
1975,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,59
1976,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,62
1977,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,88
1978,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,111
1979,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,112
1980,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,112
1981,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,165
1982,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,149
1983,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,147
1984,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,147
1985,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,135
1986,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,97
1987,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,104
1988,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,83
1989,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,152
1990,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,115
1991,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,97
1992,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,104
1993,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,137
1994,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,87
1995,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,114
1996,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,121
1997,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,130
1998,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,145
1999,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,155
2000,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,188
2001,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,217
2002,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,220
2003,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,225
2004,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,150
2005,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,115
2006,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,124
2007,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,519
2008,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,520
2009,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,530
2010,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,603
2011,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,813
2012,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,551
2013,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,453
2014,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,415
2015,Prince Edward Island,"Value of honey, total (dollars x 1,000)",v47890,2.5,569
1924,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,0
1925,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,0
1926,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,0
1927,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,0
1928,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1929,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,2
1930,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1931,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1932,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,2
1933,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1934,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1935,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1936,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,2
1937,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,2
1938,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1939,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,1
1940,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,2
1941,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,2
1942,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,6
1943,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,6
1944,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,8
1945,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,7
1946,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,3
1947,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,13
1948,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,14
1949,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,13
1950,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,9
1951,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,14
1952,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,16
1953,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,14
1954,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,12
1955,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,13
1956,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,19
1957,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,12
1958,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,15
1959,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,14
1960,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,15
1961,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,13
1962,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,6
1963,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,15
1964,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,11
1965,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,13
1966,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,11
1967,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,8
1968,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,10
1969,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,9
1970,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,8
1971,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,9
1972,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,21
1973,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,30
1974,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,19
1975,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,59
1976,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,62
1977,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,88
1978,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,111
1979,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,112
1980,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,112
1981,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,165
1982,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,149
1983,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,147
1984,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,147
1985,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,135
1986,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,97
1987,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,104
1988,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,83
1989,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,152
1990,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,115
1991,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,97
1992,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,104
1993,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,137
1994,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,87
1995,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,116
1996,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,123
1997,Prince Edward Island,"Value of honey and wax (dollars x 1,000)",v47900,2.6,132
1924,Nova Scotia,Beekeepers,v47851,3.1,200
1925,Nova Scotia,Beekeepers,v47851,3.1,200
1926,Nova Scotia,Beekeepers,v47851,3.1,220
1927,Nova Scotia,Beekeepers,v47851,3.1,250
1928,Nova Scotia,Beekeepers,v47851,3.1,270
1929,Nova Scotia,Beekeepers,v47851,3.1,270
1930,Nova Scotia,Beekeepers,v47851,3.1,260
1931,Nova Scotia,Beekeepers,v47851,3.1,260
1932,Nova Scotia,Beekeepers,v47851,3.1,260
1933,Nova Scotia,Beekeepers,v47851,3.1,260
1934,Nova Scotia,Beekeepers,v47851,3.1,250
1935,Nova Scotia,Beekeepers,v47851,3.1,250
1936,Nova Scotia,Beekeepers,v47851,3.1,260
1937,Nova Scotia,Beekeepers,v47851,3.1,260
1938,Nova Scotia,Beekeepers,v47851,3.1,260
1939,Nova Scotia,Beekeepers,v47851,3.1,300
1940,Nova Scotia,Beekeepers,v47851,3.1,300
1941,Nova Scotia,Beekeepers,v47851,3.1,280
1942,Nova Scotia,Beekeepers,v47851,3.1,290
1943,Nova Scotia,Beekeepers,v47851,3.1,330
1944,Nova Scotia,Beekeepers,v47851,3.1,400
1945,Nova Scotia,Beekeepers,v47851,3.1,420
1946,Nova Scotia,Beekeepers,v47851,3.1,450
1947,Nova Scotia,Beekeepers,v47851,3.1,400
1948,Nova Scotia,Beekeepers,v47851,3.1,380
1949,Nova Scotia,Beekeepers,v47851,3.1,400
1950,Nova Scotia,Beekeepers,v47851,3.1,360
1951,Nova Scotia,Beekeepers,v47851,3.1,390
1952,Nova Scotia,Beekeepers,v47851,3.1,310
1953,Nova Scotia,Beekeepers,v47851,3.1,380
1954,Nova Scotia,Beekeepers,v47851,3.1,500
1955,Nova Scotia,Beekeepers,v47851,3.1,400
1956,Nova Scotia,Beekeepers,v47851,3.1,410
1957,Nova Scotia,Beekeepers,v47851,3.1,400
1958,Nova Scotia,Beekeepers,v47851,3.1,410
1959,Nova Scotia,Beekeepers,v47851,3.1,420
1960,Nova Scotia,Beekeepers,v47851,3.1,380
1961,Nova Scotia,Beekeepers,v47851,3.1,390
1962,Nova Scotia,Beekeepers,v47851,3.1,340
1963,Nova Scotia,Beekeepers,v47851,3.1,300
1964,Nova Scotia,Beekeepers,v47851,3.1,280
1965,Nova Scotia,Beekeepers,v47851,3.1,280
1966,Nova Scotia,Beekeepers,v47851,3.1,290
1967,Nova Scotia,Beekeepers,v47851,3.1,290
1968,Nova Scotia,Beekeepers,v47851,3.1,360
1969,Nova Scotia,Beekeepers,v47851,3.1,320
1970,Nova Scotia,Beekeepers,v47851,3.1,290
1971,Nova Scotia,Beekeepers,v47851,3.1,290
1972,Nova Scotia,Beekeepers,v47851,3.1,270
1973,Nova Scotia,Beekeepers,v47851,3.1,320
1974,Nova Scotia,Beekeepers,v47851,3.1,380
1975,Nova Scotia,Beekeepers,v47851,3.1,440
1976,Nova Scotia,Beekeepers,v47851,3.1,520
1977,Nova Scotia,Beekeepers,v47851,3.1,520
1978,Nova Scotia,Beekeepers,v47851,3.1,550
1979,Nova Scotia,Beekeepers,v47851,3.1,590
1980,Nova Scotia,Beekeepers,v47851,3.1,630
1981,Nova Scotia,Beekeepers,v47851,3.1,650
1982,Nova Scotia,Beekeepers,v47851,3.1,690
1983,Nova Scotia,Beekeepers,v47851,3.1,690
1984,Nova Scotia,Beekeepers,v47851,3.1,800
1985,Nova Scotia,Beekeepers,v47851,3.1,800
1986,Nova Scotia,Beekeepers,v47851,3.1,550
1987,Nova Scotia,Beekeepers,v47851,3.1,400
1988,Nova Scotia,Beekeepers,v47851,3.1,370
1989,Nova Scotia,Beekeepers,v47851,3.1,370
1990,Nova Scotia,Beekeepers,v47851,3.1,380
1991,Nova Scotia,Beekeepers,v47851,3.1,400
1992,Nova Scotia,Beekeepers,v47851,3.1,500
1993,Nova Scotia,Beekeepers,v47851,3.1,520
1994,Nova Scotia,Beekeepers,v47851,3.1,522
1995,Nova Scotia,Beekeepers,v47851,3.1,463
1996,Nova Scotia,Beekeepers,v47851,3.1,470
1997,Nova Scotia,Beekeepers,v47851,3.1,455
1998,Nova Scotia,Beekeepers,v47851,3.1,450
1999,Nova Scotia,Beekeepers,v47851,3.1,440
2000,Nova Scotia,Beekeepers,v47851,3.1,450
2001,Nova Scotia,Beekeepers,v47851,3.1,400
2002,Nova Scotia,Beekeepers,v47851,3.1,418
2003,Nova Scotia,Beekeepers,v47851,3.1,405
2004,Nova Scotia,Beekeepers,v47851,3.1,375
2005,Nova Scotia,Beekeepers,v47851,3.1,335
2006,Nova Scotia,Beekeepers,v47851,3.1,335
2007,Nova Scotia,Beekeepers,v47851,3.1,215
2008,Nova Scotia,Beekeepers,v47851,3.1,210
2009,Nova Scotia,Beekeepers,v47851,3.1,205
2010,Nova Scotia,Beekeepers,v47851,3.1,215
2011,Nova Scotia,Beekeepers,v47851,3.1,209
2012,Nova Scotia,Beekeepers,v47851,3.1,230
2013,Nova Scotia,Beekeepers,v47851,3.1,287
2014,Nova Scotia,Beekeepers,v47851,3.1,320
2015,Nova Scotia,Beekeepers,v47851,3.1,395
1924,Nova Scotia,Colonies,v47861,3.2,1250
1925,Nova Scotia,Colonies,v47861,3.2,1250
1926,Nova Scotia,Colonies,v47861,3.2,1350
1927,Nova Scotia,Colonies,v47861,3.2,1400
1928,Nova Scotia,Colonies,v47861,3.2,1470
1929,Nova Scotia,Colonies,v47861,3.2,1510
1930,Nova Scotia,Colonies,v47861,3.2,1410
1931,Nova Scotia,Colonies,v47861,3.2,1480
1932,Nova Scotia,Colonies,v47861,3.2,1380
1933,Nova Scotia,Colonies,v47861,3.2,1350
1934,Nova Scotia,Colonies,v47861,3.2,1360
1935,Nova Scotia,Colonies,v47861,3.2,1180
1936,Nova Scotia,Colonies,v47861,3.2,1160
1937,Nova Scotia,Colonies,v47861,3.2,1260
1938,Nova Scotia,Colonies,v47861,3.2,1350
1939,Nova Scotia,Colonies,v47861,3.2,1260
1940,Nova Scotia,Colonies,v47861,3.2,1310
1941,Nova Scotia,Colonies,v47861,3.2,1190
1942,Nova Scotia,Colonies,v47861,3.2,1190
1943,Nova Scotia,Colonies,v47861,3.2,1340
1944,Nova Scotia,Colonies,v47861,3.2,1610
1945,Nova Scotia,Colonies,v47861,3.2,1530
1946,Nova Scotia,Colonies,v47861,3.2,1550
1947,Nova Scotia,Colonies,v47861,3.2,2500
1948,Nova Scotia,Colonies,v47861,3.2,2200
1949,Nova Scotia,Colonies,v47861,3.2,2400
1950,Nova Scotia,Colonies,v47861,3.2,1800
1951,Nova Scotia,Colonies,v47861,3.2,1800
1952,Nova Scotia,Colonies,v47861,3.2,1700
1953,Nova Scotia,Colonies,v47861,3.2,1800
1954,Nova Scotia,Colonies,v47861,3.2,2500
1955,Nova Scotia,Colonies,v47861,3.2,2200
1956,Nova Scotia,Colonies,v47861,3.2,2200
1957,Nova Scotia,Colonies,v47861,3.2,2500
1958,Nova Scotia,Colonies,v47861,3.2,2800
1959,Nova Scotia,Colonies,v47861,3.2,2900
1960,Nova Scotia,Colonies,v47861,3.2,2800
1961,Nova Scotia,Colonies,v47861,3.2,2690
1962,Nova Scotia,Colonies,v47861,3.2,2800
1963,Nova Scotia,Colonies,v47861,3.2,2700
1964,Nova Scotia,Colonies,v47861,3.2,3400
1965,Nova Scotia,Colonies,v47861,3.2,3500
1966,Nova Scotia,Colonies,v47861,3.2,3500
1967,Nova Scotia,Colonies,v47861,3.2,3500
1968,Nova Scotia,Colonies,v47861,3.2,3400
1969,Nova Scotia,Colonies,v47861,3.2,3300
1970,Nova Scotia,Colonies,v47861,3.2,3300
1971,Nova Scotia,Colonies,v47861,3.2,3400
1972,Nova Scotia,Colonies,v47861,3.2,3800
1973,Nova Scotia,Colonies,v47861,3.2,3900
1974,Nova Scotia,Colonies,v47861,3.2,3800
1975,Nova Scotia,Colonies,v47861,3.2,4800
1976,Nova Scotia,Colonies,v47861,3.2,4350
1977,Nova Scotia,Colonies,v47861,3.2,5000
1978,Nova Scotia,Colonies,v47861,3.2,5500
1979,Nova Scotia,Colonies,v47861,3.2,6100
1980,Nova Scotia,Colonies,v47861,3.2,6600
1981,Nova Scotia,Colonies,v47861,3.2,6700
1982,Nova Scotia,Colonies,v47861,3.2,7000
1983,Nova Scotia,Colonies,v47861,3.2,7000
1984,Nova Scotia,Colonies,v47861,3.2,7900
1985,Nova Scotia,Colonies,v47861,3.2,8000
1986,Nova Scotia,Colonies,v47861,3.2,6500
1987,Nova Scotia,Colonies,v47861,3.2,5600
1988,Nova Scotia,Colonies,v47861,3.2,5700
1989,Nova Scotia,Colonies,v47861,3.2,6000
1990,Nova Scotia,Colonies,v47861,3.2,6200
1991,Nova Scotia,Colonies,v47861,3.2,7000
1992,Nova Scotia,Colonies,v47861,3.2,9000
1993,Nova Scotia,Colonies,v47861,3.2,9500
1994,Nova Scotia,Colonies,v47861,3.2,12500
1995,Nova Scotia,Colonies,v47861,3.2,10300
1996,Nova Scotia,Colonies,v47861,3.2,14500
1997,Nova Scotia,Colonies,v47861,3.2,14700
1998,Nova Scotia,Colonies,v47861,3.2,16500
1999,Nova Scotia,Colonies,v47861,3.2,17500
2000,Nova Scotia,Colonies,v47861,3.2,19500
2001,Nova Scotia,Colonies,v47861,3.2,20500
2002,Nova Scotia,Colonies,v47861,3.2,20500
2003,Nova Scotia,Colonies,v47861,3.2,19080
2004,Nova Scotia,Colonies,v47861,3.2,19400
2005,Nova Scotia,Colonies,v47861,3.2,18800
2006,Nova Scotia,Colonies,v47861,3.2,18500
2007,Nova Scotia,Colonies,v47861,3.2,18500
2008,Nova Scotia,Colonies,v47861,3.2,19200
2009,Nova Scotia,Colonies,v47861,3.2,19500
2010,Nova Scotia,Colonies,v47861,3.2,18500
2011,Nova Scotia,Colonies,v47861,3.2,19300
2012,Nova Scotia,Colonies,v47861,3.2,19000
2013,Nova Scotia,Colonies,v47861,3.2,19500
2014,Nova Scotia,Colonies,v47861,3.2,23000
2015,Nova Scotia,Colonies,v47861,3.2,23776
1924,Nova Scotia,Average yield per colony (pounds),v47871,3.3,64
1925,Nova Scotia,Average yield per colony (pounds),v47871,3.3,60
1926,Nova Scotia,Average yield per colony (pounds),v47871,3.3,39
1927,Nova Scotia,Average yield per colony (pounds),v47871,3.3,34
1928,Nova Scotia,Average yield per colony (pounds),v47871,3.3,38
1929,Nova Scotia,Average yield per colony (pounds),v47871,3.3,42
1930,Nova Scotia,Average yield per colony (pounds),v47871,3.3,57
1931,Nova Scotia,Average yield per colony (pounds),v47871,3.3,39
1932,Nova Scotia,Average yield per colony (pounds),v47871,3.3,35
1933,Nova Scotia,Average yield per colony (pounds),v47871,3.3,51
1934,Nova Scotia,Average yield per colony (pounds),v47871,3.3,37
1935,Nova Scotia,Average yield per colony (pounds),v47871,3.3,40
1936,Nova Scotia,Average yield per colony (pounds),v47871,3.3,52
1937,Nova Scotia,Average yield per colony (pounds),v47871,3.3,37
1938,Nova Scotia,Average yield per colony (pounds),v47871,3.3,47
1939,Nova Scotia,Average yield per colony (pounds),v47871,3.3,61
1940,Nova Scotia,Average yield per colony (pounds),v47871,3.3,60
1941,Nova Scotia,Average yield per colony (pounds),v47871,3.3,69
1942,Nova Scotia,Average yield per colony (pounds),v47871,3.3,68
1943,Nova Scotia,Average yield per colony (pounds),v47871,3.3,54
1944,Nova Scotia,Average yield per colony (pounds),v47871,3.3,40
1945,Nova Scotia,Average yield per colony (pounds),v47871,3.3,54
1946,Nova Scotia,Average yield per colony (pounds),v47871,3.3,42
1947,Nova Scotia,Average yield per colony (pounds),v47871,3.3,45
1948,Nova Scotia,Average yield per colony (pounds),v47871,3.3,57
1949,Nova Scotia,Average yield per colony (pounds),v47871,3.3,43
1950,Nova Scotia,Average yield per colony (pounds),v47871,3.3,45
1951,Nova Scotia,Average yield per colony (pounds),v47871,3.3,79
1952,Nova Scotia,Average yield per colony (pounds),v47871,3.3,74
1953,Nova Scotia,Average yield per colony (pounds),v47871,3.3,76
1954,Nova Scotia,Average yield per colony (pounds),v47871,3.3,50
1955,Nova Scotia,Average yield per colony (pounds),v47871,3.3,61
1956,Nova Scotia,Average yield per colony (pounds),v47871,3.3,73
1957,Nova Scotia,Average yield per colony (pounds),v47871,3.3,68
1958,Nova Scotia,Average yield per colony (pounds),v47871,3.3,58
1959,Nova Scotia,Average yield per colony (pounds),v47871,3.3,62
1960,Nova Scotia,Average yield per colony (pounds),v47871,3.3,52
1961,Nova Scotia,Average yield per colony (pounds),v47871,3.3,93
1962,Nova Scotia,Average yield per colony (pounds),v47871,3.3,53
1963,Nova Scotia,Average yield per colony (pounds),v47871,3.3,79
